noun,BNC_frequency
self,3726
sewage,772
sprat,36
spelling,996
sackville,49
statistics,3192
seal,1536
spite,2889
survival,3166
supremes,5
sympathy,2307
scoreboard,65
sacking,218
sylabus,1
speech,8714
scotsman,500
sheree,22
simpson,872
sas,408
straw,1496
sayy,1
soap,1409
shaheen,12
shoba,5
sudha,1
serial,580
schedule,2953
script,1587
shooting,1261
suda,6
streeter,22
savage,599
slate,821
stay,1298
sasha,47
shchukina,1
stow,102
slalom,177
stamina,365
summit,2651
sarajevo,462
surgery,2773
surfer,175
shadow,2855
sadler,292
shelter,1523
symptom,3680
seller,2445
salesman,705
senna,281
steeple,119
skid,110
software,9380
solicitor,5713
skittle,67
santa,1225
scorer,550
shrewsbury,620
stayte,12
superglue,51
shropshire,610
shopper,612
shelf,2534
stab,321
swindonite,1
strensham,5
swan,1322
saving,4050
siberia,421
stocker,51
surprise,4823
spread,1735
spate,328
stairs,3621
shed,1303
shoot,628
swansea,651
smile,6389
sportscar,23
schlemmer,4
supercar,56
sq,907
suburb,1111
swarzenegger,1
scwarzenneger,1
secrecy,664
sdlp,348
summary,3004
sedation,93
sum,5547
speciality,703
semtex,81
shigetomi,1
strategy,8808
secret,3407
s,8253
soweto,96
silence,5198
shantallow,7
schoolmate,39
savimbi,85
supermarket,1595
scruple,114
scargill,153
seizure,520
skibbereen,8
sighting,257
smithfield,76
spence,240
speers,1
somali,76
stockwell,75
spadafora,4
siem,8
seafront,174
spiral,444
sore,192
seater,81
sunset,606
sunrise,246
streak,552
siting,161
stockholm,332
senate,1304
scraghey,1
sperrin,15
sinead,167
sep,219
scorpio,100
sagittarius,82
stump,437
severity,729
science,12577
silo,91
sheeting,135
stuart,2091
shandon,12
souvenir,468
signal,4583
swede,309
stunner,36
steffi,114
sabatini,124
salthill,7
skull,1240
sorrow,660
suzanne,323
suffragan,33
suspicion,2153
scourge,158
sectarianism,62
stranger,2181
scandal,1710
spree,200
seriousness,558
seamus,92
spouse,869
suspect,1163
stena,65
sealink,119
seacat,31
stranraer,83
stalemate,192
subscription,1140
securicor,71
sf,151
snugville,2
streetphone,1
switchboard,272
scam,97
southwark,309
selwood,16
silsoe,26
senator,890
selwyn,148
slaughter,453
swindler,23
solidarity,1109
sticker,395
stagnation,172
swindle,80
slope,2339
swindles,1
stanley,1356
storey,663
strand,1667
softening,105
slip,1172
siobhan,103
storage,2943
snack,714
salad,1387
stomach,2975
sophistication,521
screening,966
salary,2894
steriod,2
stewardess,90
sky,5340
sprawl,70
susan,1920
soles,2
skin,7226
sylvester,255
stallone,61
schwarzenegger,84
shanghai,230
speeding,19
soley,30
swartzenegger,1
spendt,1
speedie,42
saddlers,11
skinner,486
squash,547
scudamore,147
smurthwaite,6
sqn,55
servant,4521
syndicate,411
stony,48
stratford,511
swain,117
sierra,600
shucknell,1
schoolchildren,401
serbs,731
showing,343
sting,540
styler,23
sake,3074
screw,824
steeplechasing,5
spire,418
shake,340
shire,387
shirehorse,6
sightseer,53
symbol,3026
superbowl,19
skykings,1
skyking,1
soil,4738
sophie,1061
stray,73
swindons,3
suitor,164
sweetheart,433
sheepscombe,6
sedgwick,59
supper,1474
sandeman,21
slot,955
surveillence,2
sanctuary,811
surroundings,1230
sergei,190
stemp,20
shervington,3
spitfire,313
spifire,1
selway,4
sundowner,9
sugar,3841
spend,111
saleroom,66
simulator,179
simulation,673
shimmer,54
summerbee,22
selhurst,123
smart,319
sufferer,1323
sclerosis,171
symington,28
snake,1197
stroll,302
satellite,2133
spicer,106
sanction,1611
shipyard,280
steventon,8
shopkeeper,492
southerly,2
statue,1346
snook,28
scuba,106
saw,657
strteatham,1
simmons,349
stripe,736
stein,315
speedway,134
sillitoe,31
sanctum,80
stability,2125
simmo,6
singing,666
southend,396
spink,53
spoil,219
spassky,14
spillage,138
showdown,230
shootout,22
shipping,807
spanner,209
screwdriver,270
shaking,70
scruton,38
stepfather,247
steven,1059
spielberg,128
sequel,299
save,297
sin,1803
spectrum,1964
syndrome,1297
suzannah,49
statute,2173
snoop,10
somen,1
square,4981
subsidy,1840
secondary,511
studland,23
stinson,14
searcher,171
samaritan,184
springfield,200
sheena,49
sharon,693
springtown,12
sheppey,36
sovereignty,1208
stephenson,352
standstill,256
signature,1516
suckler,53
shedding,42
sba,4
stretcher,236
suitability,363
sudan,463
sensibility,393
somersault,81
shelling,143
slobodan,53
stewarts,53
strathfoyle,2
shilling,997
springboard,153
sebastian,398
say,619
sterling,1654
shetlands,52
ship,6702
sumburgh,14
signatory,355
significance,4630
shout,763
surety,254
shipbuilding,256
silverbridge,2
scarva,5
safari,248
sunnyside,12
smell,2850
sermon,652
syria,889
shockwave,38
savagery,151
shorts,810
serb,384
shellfire,20
slum,518
seabed,119
salvage,161
submarine,745
sandy,593
stagger,152
scapegoat,223
stourbridge,59
supergrass,13
stain,603
scrutiny,1225
sleaze,37
salle,72
showcase,189
sulphide,159
splinter,236
superior,615
safeguard,603
slog,80
senaki,2
solaro,5
shipmate,34
surveillance,768
safekeeping,27
sweety,38
shoreline,189
slaney,13
strange,226
sociology,1948
southerner,101
staffing,748
seaforde,3
settee,341
sleep,3749
scald,22
scout,691
scarlet,517
staple,399
slide,1481
sonia,186
sue,1491
sinus,75
simplicity,943
spray,960
schooling,673
skelhorne,4
selby,412
surplus,1255
socket,947
spraying,119
shovel,254
surfacing,18
spectre,274
stott,89
smuggler,205
sams,74
slater,425
swearing,129
shiel,57
saga,456
sympathiser,107
squabble,117
small,872
sneinton,6
sett,132
shutter,495
sowerby,91
somme,134
sliderobes,1
spaciousness,52
sliderobe,1
satterthwaite,7
soames,85
solo,1153
seodhna,1
sentencing,253
skycaps,1
semen,150
schoolday,114
spectacle,1146
safestop,1
sensor,402
similarity,1675
smattering,62
schoolroom,104
subsidiary,1765
shipbuilder,58
satisfaction,2857
sludge,201
spokesperson,276
spill,260
sphere,1726
sentiment,1057
smithkline,86
signing,900
shrine,651
stationery,349
showhouse,9
slime,148
schizophrenia,389
sudden,392
standstead,1
shipment,621
sae,308
sherwani,6
soho,351
scullery,190
shadows,1427
sitting,854
sink,1222
sewerage,149
sparkler,43
sandling,5
stantonbury,15
shakespeare,1762
shortfall,506
shoplifting,116
squatter,199
sampson,201
squatting,13
speculator,248
stole,20
sibford,3
swalcliffe,1
sultan,497
sutherland,710
stairway,238
snuffle,14
stallion,308
samantha,255
swanage,156
sand,3354
statesman,438
sewing,368
stephie,4
salespeople,89
skater,120
saher,1
stevens,624
steer,91
southeast,383
separation,1929
stan,596
stennett,16
struggler,43
strafford,18
spiro,119
smoking,1201
symphony,977
sprayson,2
stanton,120
santuary,2
synod,343
sledge,204
scaffold,76
siren,420
sequal,2
sarphie,1
syringe,273
stockyard,10
sparky,9
sharland,4
shurdington,6
sandoz,15
spine,1426
samm,1
schoolwork,36
sa,605
shampoo,351
shampooing,4
snare,127
sideline,247
scarlett,30
suitcase,733
shnezhana,2
sextuplet,12
succession,1869
sinner,302
sportswear,83
sedbury,2
sansom,21
smash,248
sammons,5
scanning,204
sammon,9
sausage,966
scan,468
spacefair,1
shar,9
secombe,21
sod,377
sims,155
shopuld,1
saomeone,1
stabbing,77
shetland,554
spastics,46
ska,23
stonehouse,97
schoolbuse,1
shuttle,501
shankhill,13
shillingford,10
sheffield,2154
sandwich,1867
swerford,6
